start
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2 with read ROI [700:5700, 4368:8368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/365 with read ROI [700:5700, 4368:8368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/62 with read ROI [700:5700, 12368:16368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/50 with read ROI [700:5700, 20368:24368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/385 with read ROI [700:5700, 24368:28368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/990 with read ROI [700:5700, 24368:28368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/997 with read ROI [700:5700, 28368:32368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2336 with read ROI [700:5700, 32368:36368, 60368:63624] (5000, 4000, 3256) and write ROI [700:5700, 32368:36368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2645 with read ROI [700:5700, 36368:40368, 60368:63624] (5000, 4000, 3256) and write ROI [700:5700, 36368:40368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/430 with read ROI [700:5700, 44368:48368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3354 with read ROI [700:5700, 48368:52368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3367 with read ROI [700:5700, 52368:56368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1260 with read ROI [700:5700, 60368:63624, 12368:16368] (5000, 3256, 4000) and write ROI [700:5700, 60368:63624, 12368:16368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/6 with read ROI [5700:10700, 368:4368, 4368:8368] (5000, 4000, 4000) and write ROI [5700:10700, 368:4368, 4368:8368] (5000, 4000, 4000)
