start
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/4 with read ROI [700:5700, 368:4368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/221 with read ROI [700:5700, 4368:8368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/566 with read ROI [700:5700, 12368:16368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/94 with read ROI [700:5700, 16368:20368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/701 with read ROI [700:5700, 24368:28368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/322 with read ROI [700:5700, 32368:36368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1375 with read ROI [700:5700, 36368:40368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2355 with read ROI [700:5700, 40368:44368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1035 with read ROI [700:5700, 44368:48368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/907 with read ROI [700:5700, 52368:56368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2115 with read ROI [700:5700, 52368:56368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2405 with read ROI [700:5700, 56368:60368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3045 with read ROI [700:5700, 60368:63624, 40368:44368] (5000, 3256, 4000) and write ROI [700:5700, 60368:63624, 40368:44368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/24 with read ROI [5700:10700, 4368:8368, 8368:12368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/17 with read ROI [5700:10700, 8368:12368, 368:4368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/31 with read ROI [5700:10700, 12368:16368, 368:4368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/181 with read ROI [5700:10700, 16368:20368, 16368:20368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/187 with read ROI [5700:10700, 20368:24368, 12368:16368] (5000, 4000, 4000) and write ROI [5700:10700, 20368:24368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/257 with read ROI [5700:10700, 28368:32368, 8368:12368] (5000, 4000, 4000) and write ROI [5700:10700, 28368:32368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/862 with read ROI [5700:10700, 32368:36368, 28368:32368] (5000, 4000, 4000) and write ROI [5700:10700, 32368:36368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1596 with read ROI [5700:10700, 36368:40368, 40368:44368] (5000, 4000, 4000) and write ROI [5700:10700, 36368:40368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2367 with read ROI [5700:10700, 40368:44368, 48368:52368] (5000, 4000, 4000) and write ROI [5700:10700, 40368:44368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2392 with read ROI [5700:10700, 48368:52368, 40368:44368] (5000, 4000, 4000) and write ROI [5700:10700, 48368:52368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1246 with read ROI [5700:10700, 52368:56368, 16368:20368] (5000, 4000, 4000) and write ROI [5700:10700, 52368:56368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1261 with read ROI [5700:10700, 56368:60368, 12368:16368] (5000, 4000, 4000) and write ROI [5700:10700, 56368:60368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/4181 with read ROI [5700:10700, 56368:60368, 52368:56368] (5000, 4000, 4000) and write ROI [5700:10700, 56368:60368, 52368:56368] (5000, 4000, 4000)
