start
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/10 with read ROI [700:5700, 368:4368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/287 with read ROI [700:5700, 4368:8368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/292 with read ROI [700:5700, 12368:16368, 32368:36368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/570 with read ROI [700:5700, 16368:20368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1155 with read ROI [700:5700, 20368:24368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/483 with read ROI [700:5700, 28368:32368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/491 with read ROI [700:5700, 32368:36368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/265 with read ROI [700:5700, 36368:40368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/419 with read ROI [700:5700, 40368:44368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/758 with read ROI [700:5700, 48368:52368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1408 with read ROI [700:5700, 48368:52368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3745 with read ROI [700:5700, 52368:56368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 56368:60368] (5000, 4000, 4000)
