start
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/220 with read ROI [700:5700, 368:4368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/23 with read ROI [700:5700, 8368:12368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/26 with read ROI [700:5700, 12368:16368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/130 with read ROI [700:5700, 16368:20368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/180 with read ROI [700:5700, 20368:24368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/141 with read ROI [700:5700, 24368:28368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/314 with read ROI [700:5700, 28368:32368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/596 with read ROI [700:5700, 32368:36368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/605 with read ROI [700:5700, 36368:40368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2069 with read ROI [700:5700, 36368:40368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/442 with read ROI [700:5700, 48368:52368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3732 with read ROI [700:5700, 48368:52368, 60368:63624] (5000, 4000, 3256) and write ROI [700:5700, 48368:52368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3016 with read ROI [700:5700, 52368:56368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/936 with read ROI [700:5700, 60368:63624, 4368:8368] (5000, 3256, 4000) and write ROI [700:5700, 60368:63624, 4368:8368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/288 with read ROI [5700:10700, 368:4368, 40368:44368] (5000, 4000, 4000) and write ROI [5700:10700, 368:4368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/42 with read ROI [5700:10700, 8368:12368, 8368:12368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/131 with read ROI [5700:10700, 12368:16368, 16368:20368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/696 with read ROI [5700:10700, 16368:20368, 40368:44368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/838 with read ROI [5700:10700, 20368:24368, 40368:44368] (5000, 4000, 4000) and write ROI [5700:10700, 20368:24368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1169 with read ROI [5700:10700, 24368:28368, 44368:48368] (5000, 4000, 4000) and write ROI [5700:10700, 24368:28368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/726 with read ROI [5700:10700, 32368:36368, 24368:28368] (5000, 4000, 4000) and write ROI [5700:10700, 32368:36368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2070 with read ROI [5700:10700, 32368:36368, 52368:56368] (5000, 4000, 4000) and write ROI [5700:10700, 32368:36368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/883 with read ROI [5700:10700, 40368:44368, 20368:24368] (5000, 4000, 4000) and write ROI [5700:10700, 40368:44368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/443 with read ROI [5700:10700, 44368:48368, 368:4368] (5000, 4000, 4000) and write ROI [5700:10700, 44368:48368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1422 with read ROI [5700:10700, 48368:52368, 24368:28368] (5000, 4000, 4000) and write ROI [5700:10700, 48368:52368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/801 with read ROI [5700:10700, 56368:60368, 368:4368] (5000, 4000, 4000) and write ROI [5700:10700, 56368:60368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2161 with read ROI [5700:10700, 60368:63624, 24368:28368] (5000, 3256, 4000) and write ROI [5700:10700, 60368:63624, 24368:28368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/685 with read ROI [10700:15700, 368:4368, 52368:56368] (5000, 4000, 4000) and write ROI [10700:15700, 368:4368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/47 with read ROI [10700:15700, 8368:12368, 4368:8368] (5000, 4000, 4000) and write ROI [10700:15700, 8368:12368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/833 with read ROI [10700:15700, 12368:16368, 44368:48368] (5000, 4000, 4000) and write ROI [10700:15700, 12368:16368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1794 with read ROI [10700:15700, 16368:20368, 60368:63624] (5000, 4000, 3256) and write ROI [10700:15700, 16368:20368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2054 with read ROI [10700:15700, 20368:24368, 60368:63624] (5000, 4000, 3256) and write ROI [10700:15700, 20368:24368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1016 with read ROI [10700:15700, 28368:32368, 32368:36368] (5000, 4000, 4000) and write ROI [10700:15700, 28368:32368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2982 with read ROI [10700:15700, 32368:36368, 60368:63624] (5000, 4000, 3256) and write ROI [10700:15700, 32368:36368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2993 with read ROI [10700:15700, 36368:40368, 56368:60368] (5000, 4000, 4000) and write ROI [10700:15700, 36368:40368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1062 with read ROI [10700:15700, 44368:48368, 16368:20368] (5000, 4000, 4000) and write ROI [10700:15700, 44368:48368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1633 with read ROI [10700:15700, 44368:48368, 28368:32368] (5000, 4000, 4000) and write ROI [10700:15700, 44368:48368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3398 with read ROI [10700:15700, 52368:56368, 44368:48368] (5000, 4000, 4000) and write ROI [10700:15700, 52368:56368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1295 with read ROI [10700:15700, 60368:63624, 4368:8368] (5000, 3256, 4000) and write ROI [10700:15700, 60368:63624, 4368:8368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/233 with read ROI [15700:20700, 4368:8368, 24368:28368] (5000, 4000, 4000) and write ROI [15700:20700, 4368:8368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/304 with read ROI [15700:20700, 8368:12368, 24368:28368] (5000, 4000, 4000) and write ROI [15700:20700, 8368:12368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1795 with read ROI [15700:20700, 12368:16368, 60368:63624] (5000, 4000, 3256) and write ROI [15700:20700, 12368:16368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/259 with read ROI [15700:20700, 20368:24368, 8368:12368] (5000, 4000, 4000) and write ROI [15700:20700, 20368:24368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/334 with read ROI [15700:20700, 24368:28368, 8368:12368] (5000, 4000, 4000) and write ROI [15700:20700, 24368:28368, 8368:12368] (5000, 4000, 4000)
