start
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/11 with read ROI [700:5700, 4368:8368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/59 with read ROI [700:5700, 8368:12368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/461 with read ROI [700:5700, 12368:16368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/979 with read ROI [700:5700, 16368:20368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/186 with read ROI [700:5700, 24368:28368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1358 with read ROI [700:5700, 28368:32368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1576 with read ROI [700:5700, 32368:36368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/735 with read ROI [700:5700, 40368:44368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/352 with read ROI [700:5700, 44368:48368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/651 with read ROI [700:5700, 52368:56368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1876 with read ROI [700:5700, 56368:60368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/4180 with read ROI [700:5700, 60368:63624, 52368:56368] (5000, 3256, 4000) and write ROI [700:5700, 60368:63624, 52368:56368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/222 with read ROI [5700:10700, 368:4368, 36368:40368] (5000, 4000, 4000) and write ROI [5700:10700, 368:4368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/63 with read ROI [5700:10700, 8368:12368, 12368:16368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/571 with read ROI [5700:10700, 12368:16368, 40368:44368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1556 with read ROI [5700:10700, 16368:20368, 60368:63624] (5000, 4000, 3256) and write ROI [5700:10700, 16368:20368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1569 with read ROI [5700:10700, 24368:28368, 52368:56368] (5000, 4000, 4000) and write ROI [5700:10700, 24368:28368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1015 with read ROI [5700:10700, 32368:36368, 32368:36368] (5000, 4000, 4000) and write ROI [5700:10700, 32368:36368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/616 with read ROI [5700:10700, 36368:40368, 16368:20368] (5000, 4000, 4000) and write ROI [5700:10700, 36368:40368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1207 with read ROI [5700:10700, 40368:44368, 28368:32368] (5000, 4000, 4000) and write ROI [5700:10700, 40368:44368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2679 with read ROI [5700:10700, 44368:48368, 48368:52368] (5000, 4000, 4000) and write ROI [5700:10700, 44368:48368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3382 with read ROI [5700:10700, 52368:56368, 48368:52368] (5000, 4000, 4000) and write ROI [5700:10700, 52368:56368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/5081 with read ROI [5700:10700, 56368:60368, 60368:63624] (5000, 4000, 3256) and write ROI [5700:10700, 56368:60368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/40 with read ROI [10700:15700, 368:4368, 12368:16368] (5000, 4000, 4000) and write ROI [10700:15700, 368:4368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/43 with read ROI [10700:15700, 4368:8368, 8368:12368] (5000, 4000, 4000) and write ROI [10700:15700, 4368:8368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/132 with read ROI [10700:15700, 8368:12368, 16368:20368] (5000, 4000, 4000) and write ROI [10700:15700, 8368:12368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/478 with read ROI [10700:15700, 16368:20368, 28368:32368] (5000, 4000, 4000) and write ROI [10700:15700, 16368:20368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/846 with read ROI [10700:15700, 20368:24368, 36368:40368] (5000, 4000, 4000) and write ROI [10700:15700, 20368:24368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1809 with read ROI [10700:15700, 24368:28368, 52368:56368] (5000, 4000, 4000) and write ROI [10700:15700, 24368:28368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/277 with read ROI [10700:15700, 32368:36368, 368:4368] (5000, 4000, 4000) and write ROI [10700:15700, 32368:36368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1398 with read ROI [10700:15700, 36368:40368, 32368:36368] (5000, 4000, 4000) and write ROI [10700:15700, 36368:40368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1233 with read ROI [10700:15700, 44368:48368, 20368:24368] (5000, 4000, 4000) and write ROI [10700:15700, 44368:48368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3018 with read ROI [10700:15700, 44368:48368, 48368:52368] (5000, 4000, 4000) and write ROI [10700:15700, 44368:48368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1662 with read ROI [10700:15700, 52368:56368, 20368:24368] (5000, 4000, 4000) and write ROI [10700:15700, 52368:56368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1909 with read ROI [10700:15700, 56368:60368, 20368:24368] (5000, 4000, 4000) and write ROI [10700:15700, 56368:60368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/19 with read ROI [15700:20700, 368:4368, 368:4368] (5000, 4000, 4000) and write ROI [15700:20700, 368:4368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/573 with read ROI [15700:20700, 4368:8368, 40368:44368] (5000, 4000, 4000) and write ROI [15700:20700, 4368:8368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/108 with read ROI [15700:20700, 12368:16368, 4368:8368] (5000, 4000, 4000) and write ROI [15700:20700, 12368:16368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/395 with read ROI [15700:20700, 16368:20368, 20368:24368] (5000, 4000, 4000) and write ROI [15700:20700, 16368:20368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/599 with read ROI [15700:20700, 20368:24368, 24368:28368] (5000, 4000, 4000) and write ROI [15700:20700, 20368:24368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1588 with read ROI [15700:20700, 24368:28368, 44368:48368] (5000, 4000, 4000) and write ROI [15700:20700, 24368:28368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/433 with read ROI [15700:20700, 32368:36368, 4368:8368] (5000, 4000, 4000) and write ROI [15700:20700, 32368:36368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/761 with read ROI [15700:20700, 36368:40368, 12368:16368] (5000, 4000, 4000) and write ROI [15700:20700, 36368:40368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/549 with read ROI [15700:20700, 40368:44368, 368:4368] (5000, 4000, 4000) and write ROI [15700:20700, 40368:44368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1648 with read ROI [15700:20700, 44368:48368, 24368:28368] (5000, 4000, 4000) and write ROI [15700:20700, 44368:48368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/4634 with read ROI [15700:20700, 52368:56368, 52368:56368] (5000, 4000, 4000) and write ROI [15700:20700, 52368:56368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1945 with read ROI [15700:20700, 60368:63624, 12368:16368] (5000, 3256, 4000) and write ROI [15700:20700, 60368:63624, 12368:16368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3099 with read ROI [15700:20700, 60368:63624, 28368:32368] (5000, 3256, 4000) and write ROI [15700:20700, 60368:63624, 28368:32368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/574 with read ROI [20700:25700, 368:4368, 40368:44368] (5000, 4000, 4000) and write ROI [20700:25700, 368:4368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1559 with read ROI [20700:25700, 4368:8368, 60368:63624] (5000, 4000, 3256) and write ROI [20700:25700, 4368:8368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1796 with read ROI [20700:25700, 8368:12368, 60368:63624] (5000, 4000, 3256) and write ROI [20700:25700, 8368:12368, 60368:63624] (5000, 4000, 3256)
